Numbers,Lat,Long
https://en.wikipedia.org/wiki/Admiralty_station_(MTR),22.2788,114.1646
https://en.wikipedia.org/wiki/Exhibition_Centre_station_(MTR),22.2818,114.1754
https://en.wikipedia.org/wiki/Hung_Hom_station,22.3029,114.1816
https://en.wikipedia.org/wiki/Mong_Kok_East_station,22.3222,114.1728
https://en.wikipedia.org/wiki/Kowloon_Tong_station,22.3370,114.1762
https://en.wikipedia.org/wiki/Tai_Wai_station,22.3731,114.1786
https://en.wikipedia.org/wiki/Sha_Tin_station,22.3825,114.1875
https://en.wikipedia.org/wiki/Fo_Tan_station,22.3953,114.1982
https://en.wikipedia.org/wiki/Racecourse_station_(MTR),22.4004,114.2029
https://en.wikipedia.org/wiki/University_station_(MTR),22.4134,114.2102
https://en.wikipedia.org/wiki/Tai_Po_Market_station,22.4446,114.1706
https://en.wikipedia.org/wiki/Tai_Wo_station,22.4511,114.1611
https://en.wikipedia.org/wiki/Fanling_station,22.4921,114.1387
https://en.wikipedia.org/wiki/Sheung_Shui_station,22.5012,114.1280
https://en.wikipedia.org/wiki/Lo_Wu_station,22.5283,114.1134
https://en.wikipedia.org/wiki/Lok_Ma_Chau_station,22.5144,114.0657
https://en.wikipedia.org/wiki/Whampoa_station,22.3050,114.1896
https://en.wikipedia.org/wiki/Ho_Man_Tin_station,22.3093,114.1829
https://en.wikipedia.org/wiki/Yau_Ma_Tei_station,22.3129,114.1707
https://en.wikipedia.org/wiki/Mong_Kok_station,22.3191,114.1694
https://en.wikipedia.org/wiki/Prince_Edward_station,22.3245,114.1683
https://en.wikipedia.org/wiki/Shek_Kip_Mei_station,22.3320,114.1687
https://en.wikipedia.org/wiki/Lok_Fu_station,22.3380,114.1871
https://en.wikipedia.org/wiki/Wong_Tai_Sin_station,22.3417,114.1939
https://en.wikipedia.org/wiki/Diamond_Hill_station,22.3401,114.2016
https://en.wikipedia.org/wiki/Choi_Hung_station,22.3348,114.2089
https://en.wikipedia.org/wiki/Kowloon_Bay_station,22.3235,114.2141
https://en.wikipedia.org/wiki/Ngau_Tau_Kok_station,22.3154,114.2193
https://en.wikipedia.org/wiki/Kwun_Tong_station,22.3121,114.2265
https://en.wikipedia.org/wiki/Lam_Tin_station,22.3068,114.2330
https://en.wikipedia.org/wiki/Yau_Tong_station,22.2979,114.2371
https://en.wikipedia.org/wiki/Tiu_Keng_Leng_station,22.3042,114.2524
https://en.wikipedia.org/wiki/Tsuen_Wan_station,22.3736,114.1178
https://en.wikipedia.org/wiki/Tai_Wo_Hau_station,22.3708,114.1250
https://en.wikipedia.org/wiki/Kwai_Hing_station,22.3632,114.1312
https://en.wikipedia.org/wiki/Kwai_Fong_station,22.3569,114.1279
https://en.wikipedia.org/wiki/Lai_King_station,22.3484,114.1261
https://en.wikipedia.org/wiki/Mei_Foo_station,22.3381,114.1376
https://en.wikipedia.org/wiki/Lai_Chi_Kok_station,22.3373,114.1482
https://en.wikipedia.org/wiki/Cheung_Sha_Wan_station,22.3354,114.1563
https://en.wikipedia.org/wiki/Sham_Shui_Po_station,22.3307,114.1623
https://en.wikipedia.org/wiki/Jordan_station,22.3049,114.1718
https://en.wikipedia.org/wiki/Tsim_Sha_Tsui_station,22.2973,114.1722
https://en.wikipedia.org/wiki/East_Tsim_Sha_Tsui_station,22.2955,114.1754
https://en.wikipedia.org/wiki/Central_station_(MTR),22.2820,114.1576
https://en.wikipedia.org/wiki/Hong_Kong_station,22.285,114.158
https://en.wikipedia.org/wiki/Kennedy_Town_station,22.2812,114.1285
https://en.wikipedia.org/wiki/HKU_station,22.2841,114.1356
https://en.wikipedia.org/wiki/Sai_Ying_Pun_station,22.2856,114.1427
https://en.wikipedia.org/wiki/Sheung_Wan_station,22.2862,114.1518
https://en.wikipedia.org/wiki/Wan_Chai_station,22.2773,114.1728
https://en.wikipedia.org/wiki/Causeway_Bay_station,22.2802,114.1835
https://en.wikipedia.org/wiki/Tin_Hau_station,22.2827,114.1917
https://en.wikipedia.org/wiki/Fortress_Hill_station,22.2881,114.1936
https://en.wikipedia.org/wiki/North_Point_station,22.2909,114.2007
https://en.wikipedia.org/wiki/Quarry_Bay_station,22.2878,114.2096
https://en.wikipedia.org/wiki/Tai_Koo_station,22.2846,114.2161
https://en.wikipedia.org/wiki/Sai_Wan_Ho_station,22.2816,114.2224
https://en.wikipedia.org/wiki/Shau_Kei_Wan_station,22.2789,114.2289
https://en.wikipedia.org/wiki/Heng_Fa_Chuen_station,22.2769,114.2398
https://en.wikipedia.org/wiki/Chai_Wan_station,22.2644,114.2368
https://en.wikipedia.org/wiki/Tung_Chung_station,22.2893,113.9416
https://en.wikipedia.org/wiki/Sunny_Bay_station,22.3318,114.0288
https://en.wikipedia.org/wiki/Tsing_Yi_station,22.3584,114.1070
https://en.wikipedia.org/wiki/Nam_Cheong_station,22.3268,114.1533
https://en.wikipedia.org/wiki/Olympic_station,22.3178,114.1602
https://en.wikipedia.org/wiki/Kowloon_station_(MTR),22.3049,114.1615
https://en.wikipedia.org/wiki/AsiaWorld%E2%80%93Expo_station,22.3218,113.9412
https://en.wikipedia.org/wiki/Airport_station_(MTR),22.3160,113.9366
https://en.wikipedia.org/wiki/Po_Lam_station,22.3224,114.258
https://en.wikipedia.org/wiki/Hang_Hau_station,22.3156,114.2644
https://en.wikipedia.org/wiki/LOHAS_Park_station,22.2957,114.2689
https://en.wikipedia.org/wiki/Tseung_Kwan_O_station,22.3074,114.26
https://en.wikipedia.org/wiki/Wu_Kai_Sha_station,22.4291,114.2438
https://en.wikipedia.org/wiki/Ma_On_Shan_station,22.4247,114.2316
https://en.wikipedia.org/wiki/Heng_On_station,22.4174,114.2258
https://en.wikipedia.org/wiki/Tai_Shui_Hang_station,22.4088,114.2230
https://en.wikipedia.org/wiki/Shek_Mun_station,22.3877,114.2083
https://en.wikipedia.org/wiki/City_One_station,22.3828,114.2035
https://en.wikipedia.org/wiki/Sha_Tin_Wai_station,22.3771,114.195
https://en.wikipedia.org/wiki/Che_Kung_Temple_station,22.3748,114.1861
https://en.wikipedia.org/wiki/Hin_Keng_station,22.3640,114.1708
https://en.wikipedia.org/wiki/Kai_Tak_station,22.3304,114.1994
https://en.wikipedia.org/wiki/Sung_Wong_Toi_station,22.3258,114.1914
https://en.wikipedia.org/wiki/To_Kwa_Wan_station,22.3172,114.1876
https://en.wikipedia.org/wiki/Austin_station_(MTR),22.3046,114.1665
https://en.wikipedia.org/wiki/Tsuen_Wan_West_station,22.3686,114.1098
https://en.wikipedia.org/wiki/Kam_Sheung_Road_station,22.4348,114.0634
https://en.wikipedia.org/wiki/Yuen_Long_station,22.4461,114.0352
https://en.wikipedia.org/wiki/Long_Ping_station,22.4477,114.0253
https://en.wikipedia.org/wiki/Tin_Shui_Wai_station,22.4481,114.0046
https://en.wikipedia.org/wiki/Siu_Hong_station,22.412,113.9786
https://en.wikipedia.org/wiki/Tuen_Mun_station,22.3952,113.9731
https://en.wikipedia.org/wiki/Disneyland_Resort_station,22.3155,114.0451
https://en.wikipedia.org/wiki/South_Horizons_station,22.2425,114.1491
https://en.wikipedia.org/wiki/Lei_Tung_station,22.2421,114.1562
https://en.wikipedia.org/wiki/Wong_Chuk_Hang_station,22.2480,114.1681
https://en.wikipedia.org/wiki/Ocean_Park_station,22.2486,114.1743
